tome	session_id	organization	president	date
11	73	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-26
11	74	ASSEMBLÉE NATIONALE. 	n/a	1790-02-27
11	75	ASSEMBLÉE NATIONALE. 	n/a	1790-02-27
11	76	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-02-28
11	77	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-03-01
12	1	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé de montesquiou. 	1790-03-02
12	2	ASSEMBLÉE NATIONALE. 	présidence de m. bureaux de pusy, ancien président. 	1790-03-03
12	3	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé de montesquiou. 	1790-03-04
12	4	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DE MONTESQUIOU. 	1790-03-04
12	5	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé de montesquiou. 	1790-03-05
12	6	ASSEMBLÉE NATIONALE. 	Présidence de m. l'abbé de montesquiou. 	1790-03-06
12	7	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DR MONTESQUIOU. 	1790-03-06
12	8	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DE MONTESQUIOU. 	1790-05-07
12	9	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DE MONTESQUIOU. 	1790-03-08
12	10	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DE MONTESQUIOU. 	1790-03-09
12	11	ASSEMBLÉE NATIONALE. 	présidence de m. le chapelier, ex-président. 	1790-03-09
12	12	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. DE TALLÉYRAND, ÉVÊQUE D'AUTUN. 	1790-03-10
12	13	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé de montesquiqu. 	1790-03-11
12	14	ASSEMBLÉE NATIONALE. 	présidence de m. bureaux de pusy, ancien président. 	1790-03-11
12	15	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé de montesquiou. 	1790-03-12
12	16	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ DE MONTÈSQUIOU. 	1790-03-13
12	17	ASSEMBLÉE NATIONALE. 	présidence de m. Prétbau, ancien président. 	1790-03-13
12	18	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. L'ABBÉ DE MONTESQUIOU	1790-03-14
12	19	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE. 	1790-03-15
12	20	ASSEMBLÉE NATIONALE. 	présidence de m. rabaud de saint-étienne.	1790-03-16
12	21	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE.	1790-03-16
12	22	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE. 	1790-03-17
12	23	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ËTIENNE. 	1790-03-18
12	24	ASSEMBLÉE NATIONALE. 	Présidence de M. Tréteau, ancien président. 	1790-03-18
12	25	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE. 	1790-03-19
12	26	ASSEMBLÉE NATIONALE. 	présidence de m. rabaud de saint-étienne. 	1790-03-20
12	27	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. FRÉTEAU, EX-PRÉSIDENT. 	1790-03-20
12	28	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RARAUD DE SAINT-ÉTIENNE. 	1790-03-21
12	29	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE. 	1790-03-22
12	30	ASSEMBLÉE NATIONALE. 	présidence de m. rabaud de saint-'etienne.	1790-03-23
12	31	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE. 	1790-03-23
12	32	ASSEMBLÉE NATIONALE. 	présidence de m- rabaud de saint-étienne. 	1790-03-24
12	33	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. RABAUD DE SAINT-ÉTIENNE.	1790-03-22
12	34	ASSEMBLÉE NATIONALE.	présidence de m. rabaud de saint-étienne.	1790-03-26
12	35	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. RABAUD DE SAlNT-ÉTIENNE.	1790-03-27
12	36	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. FRÉTEAU, ANCIEN PRÉSIDENT.	1790-03-27
12	37	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. LE BARON DE MENOU.	1790-03-28
12	38	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. LE BARON DE MENPU, 	1790-03-29
12	39	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-03-30
12	40	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-05-30
12	41	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-05-31
12	42	ASSEMBLÉE NATIONALE. 	présidence de m. le baron de menou. 	1790-04-01
12	43	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-04-02
12	44	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M. LE BARON MENÔU. 	1790-04-03
12	45	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-04-05
12	46	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-04-06
12	47	ASSEMBLÉE NATIONALE. 	présidence de m. le baron de menou. 	1790-04-07
12	48	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-04-08
12	49	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE BARON DE MENOU. 	1790-04-08
12	50	ASSEMBLÉE NATIONALE. 	Présidence de M. le baron de Menou. 	1790-04-09
12	51	ASSEMBLÉE NATIONALE. 	présidence de m. le baron de menou. 	1790-04-10
12	52	ASSEMBLÉE NATIONALE. 	présidence de m. le baron de menou. 	1790-04-10
12	53	ASSEMBLÉE NATIONALE. 	présidence de m. le baron de menou. 	1790-04-11
12	54	ASSEMBLÉE NATIONALE. 	présidence de m. le marquis de bonnay. 	1790-04-12
12	55	ASSEMBLÉE NATIONALE. 	 présidence de m. le marquis de bonnay. 	1790-04-03
12	56	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LEMARQUIS DE BONNVY. 	1790-04-14
13	1	ASSEMBLÉE NATIONALE. 	n/a	1790-04-15
13	2	ASSEMBLÉE NATIONALE. 	PREMIÈRE ANNEXE	1790-04-15
13	3	ASSEMBLÉE NATIONALE. 	n/a	1790-04-16
13	4	ASSEMBLÉE NATIONALE. 	n/a	1790-04-17
13	5	ASSEMBLÉE NATIONALE. 	n/a	1790-04-17
13	6	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-04-18
13	7	ASSEMBLÉE NATIONALE. 	1re ANNEXE 	1790-04-19
13	8	ASSEMBLÉE NATIONALE. 	n/a	1790-04-20
13	9	ASSEMBLÉE NATIONALE. 	ANNEXE 	1790-04-20
13	10	ASSEMBLÉE NATIONALE.	ANNEXE 	1790-04-21
15	1	ASSEMBLÉE NATIONALE. 	présidence de m. le marquis de bonnay. 	1790-04-22
15	2	ASSEMBLÉE NATIONALE. 	n/a	1790-04-22
15	3	ASSEMBLÉE NATIONALE. 	n/a	1790-04-23
15	4	ASSEMBLÉE NATIONALE. 	n/a	1790-04-24
15	5	ASSEMBLÉE NATIONALE. 	présidence de m. le marquis de bonnay.	1790-04-24
15	6	ASSEMBLÉE NATIONALE. 	n/a	1790-04-25
15	7	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE MARQUIS DE BONNAY. 	1790-04-26
15	8	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE COMTE DE VIRIEU. 	1790-04-27
15	9	ASSEMBLÉE NATIONALE. 	présidence de m. le marquis de boxnay, ex-président, 	1790-04-28
15	10	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-04-29
15	11	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-04-29
15	12	ASSEMBLÉE NATIONALE. 	présidence de m. l'abbé gouttes.	1790-04-30
15	13	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-01
15	14	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-03-01
15	15	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-02
15	16	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-03
15	17	ASSEMBLÉE NATIONALE 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-03
15	18	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ARBÉ GOUTTTES. 	1790-05-04
15	19	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE MARQUIS DE BONNAY, EX-PRÉSIDENT 	1790-05-04
15	20	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ARBÉ GOUTTES. 	1790-05-05
15	21	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ARBÉ GOUTTES. 	1790-05-05
15	22	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-06
15	23	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-06
15	24	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTAS. 	1790-05-07
15	25	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. LE MARQUIS DE BONNAY, EX-PRÉSIDENT. 	1790-05-07
15	26	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES, 	1790-05-08
15	27	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES. 	1790-05-08
15	28	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. L'ABBÉ GOUTTES.	1790-05-09
15	29	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE m. THOURET. 	1790-05-10
15	30	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-06-10
15	31	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-11
15	32	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-11
15	33	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-12
15	34	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. TBOURET. 	1790-05-12
15	35	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-13
15	36	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-14
15	37	ASSEMBLÉE NATIONALE. 	présidence de m. thouret. 	1790-05-14
15	38	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-15
15	39	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET.	1790-05-15
15	40	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1790-05-16
15	41	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET.	1790-03-11
15	42	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. L'ABBÉ GOUTTES.	1790-05-17
15	43	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET.	1790-05-18
15	44	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. L'ABBÉ GOUTTES.	1790-05-18
15	45	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET.	1790-05-19
15	46	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. CAMUS.	1790-05-19
15	47	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET.	1790-05-20
